Company,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Microsoft,61000,71000,79000,91000,93000,89000,90000,94000,99000,128000,118000,114000,124000,131000,144000,163000
Amazon,12000,13900,17000,20700,24300,33700,56200,88400,117300,154100,230800,341400,566000,647500,798000,1298000
Google,5680,10674,16805,20222,19835,24000,32467,53861,47756,53600,61814,72053,80110,98771,118899,235301
Facebook,,,,,,,3200,4619,6337,9199,12691,17048,25105,35587,44942,58604
Netflix,985,1300,1542,1644,1883,2180,2348,2045,2022,2189,3700,4700,5500,7300,8600,9400
Apple ,16820,20186,23700,35100,36800,49400,63300,76100,84400,97000,110000,116000,123000,132000,137000,147000
