Company,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Microsoft,163000,144000,131000,124000,114000,118000,128000,99000,94000,90000,89000,93000,91000,79000,71000,61000
Amazon,1298000,798000,647500,566000,341400,230800,154100,117300,88400,56200,33700,24300,20700,17000,13900,12000
Google,235301,118899,98771,80110,72053,61814,53600,47756,53861,32467,24000,19835,20222,16805,10674,5680
Facebook,58604,44942,35587,25105,17048,12691,9199,6337,4619,3200,,,,,,
Netflix,9400,8600,7300,5500,4700,3700,2189,2022,2045,2348,2180,1883,1644,1542,1300,985
Apple ,147000,137000,132000,123000,116000,110000,97000,84400,76100,63300,49400,36800,35100,23700,20186,16820
