Office,Address,State,Country,Company,Latitude,Longitude
Zaventem,Luchthaven Brussel Nationaal 1K,,Belgium,Microsoft,50.89587086,4.485497544
Santa Cruz de la Sierra,"Av. San Martin y 4to Anillo Norte Edificio Torreo Duo, Piso 19, Of C.",,Bolivia,Microsoft,-17.74873642,-63.17520583
São Paulo,"011, Av. Pres. Juscelino Kubitschek, 1909 - Vila Olímpia, 04543-907, Brazil",,Brazil,Microsoft,-23.59134422,-46.68798471
Bandar Seri Begawan,"13-1, PGGMB Building Jalan Kianggeh",,Brunei Darussalam,Microsoft,4.889956283,114.9439387
Sofia,"bul. ""Nikola Y. Vaptsarov"" 55",,Bulgaria,Microsoft,42.66701361,23.32647244
Calgary,110 9 Ave SW #710,,Canada,Microsoft,51.04498536,-114.0639107
Mississauga,1950 Meadowvale Blvd,,Canada,Microsoft,43.61278087,-79.75382807
Montreal,2000 Avenue McGill College 5th floor,,Canada,Microsoft,45.50284543,-73.57360732
Santiago,"Av. Vitacura 6844 , Vitacura ",,Chile,Microsoft,-33.38726061,-70.5663829
Beijing,"5 Danling St, Zhong Guan Cun, Haidian Qu",,China,Microsoft,39.97960952,116.3108804
Guangzhou,"27th Floor of Office Tower 1 of the TaiKoo Hui, No.385 Tianhe Road, Tianhe District",,China,Microsoft,23.13500559,113.3321547
Shanghai,"Building C9, 77 Hongcao Road, Xuhui District",,China,Microsoft,31.17293317,121.4095266
Bogotá,Cl. 92 #11-51 Piso 10,,Colombia,Microsoft,4.673550939,-74.04853143
Medellín,"Carrera 43 A, Cl. 3 Sur #130, Medellín, Antioquia, Colombia",,Colombia,Microsoft,6.201415679,-75.57225664
San José,"Torre Universal, Piso 1, Ave. 12, Calle 42, C.P 10108, Sabana Noreste",,Costa Rica,Microsoft,9.932189554,-84.09855016
Abidjan," étageAbidjan,Ivory Coast ",,Côte d'Ivoire,Microsoft,5.317000215,-4.01745156
Zagreb,Horvatova 82/6 ,,Croatia,Microsoft,45.76475231,15.98018471
Nicosia,"11 Limassol Avenue, Galatariotis Building 1st Floor ",,Cyprus,Microsoft,35.18258099,33.39113026
Praha,Vysko?ilova 1561/4a,,Czech Republic,Microsoft,50.04820125,14.45725668
Kongens Lyngby,Kanalvej 7,,Denmark,Microsoft,55.77305024,12.50886858
Santo Domingo,"Blue Mall, Av. Winston Churchill 80",,Dominican Republic,Microsoft,18.47302556,-69.94101133
Quito,"Nayón, Sector Huertayacu Quito, 170530, Ecuador",,Ecuador,Microsoft,-0.153757451,-78.43002886
Cairo,"Smart Village Kilo 28, Cairo/Alex Desert Road Abou Rawash",,Egypt,Microsoft,30.06056761,31.03271812
San Salvador,"89 Ave. Norte Edificio World Trade Center Torre 2 Nivel 5, Col. EscalÃ³n ",,El Salvador,Microsoft,13.70834609,-89.24175732
Tallinn,Akadeemia tee 15,,Estonia,Microsoft,59.39762651,24.6617175
Espoo,Keilalahdentie 2-4,,Finland,Microsoft,60.17149119,24.8278317
Issy-les-Moulineaux,R7M8+C9 Issy-les-Moulineaux,,France,Microsoft,48.83371745,2.265975042
München,Walter-Gropius-Straße 5,,Germany,Microsoft,48.17787483,11.59382693
Unterschleißheim,Konrad-Zuse-Straße 1,,Germany,Microsoft,48.29007667,11.5812212
Marousi,Leof. Kifisias 221,,Greece,Microsoft,38.06415335,23.80911604
Guatemala,"Diagonal 6 10-50 zona 10 Torre Norte, Nivel 11 Edificio InteramÃ©ricas, World Financial Center.",,Guatemala,Microsoft,14.60135991,-90.50955049
Tegucigalpa,Honduras Business Center Torre Nova piso 8 Parque Comercial Los PrÃ³ceres,,Honduras,Microsoft,14.10199815,-87.18696821
Hong Kong,"15/F, Cyberport 2, 100 Cyberport Road",,Hong Kong,Microsoft,22.26241368,114.1307213
Budapest,"Budapest, M épület, Graphisoft park 3, 1031 Hungary",,Hungary,Microsoft,47.56123888,19.05454672
Bengaluru,"6, Bellandur Gate Rd, Adarsh Palm Retreat, Bellandur",,India,Microsoft,12.92650163,77.6775781
Gurugram,"10th Floor, Tower B &amp; C, DLF Building No.5, Cyber City, DLF Phase III",,India,Microsoft,28.48962574,77.09200827
Mumbai,"Windsor Building, Off, Near, CST Road, Kolivery Village, MMRDA Area, Bandra Kurla Complex, Santacruz East",,India,Microsoft,19.06952167,72.86191014
Jakarta,"Jakarta Stock Exchange Building Tower II, lantai 18 Sudirman Central Business District Jl. Jend. Sudirman Kav. 52-53 ",,Indonesia,Microsoft,-6.223257603,106.8087349
Leopardstown,1 One Microsoft Place South County Business Park,,Ireland,Microsoft,53.26916683,-6.195996114
Ra'anana,HaPnina St 2,,Israel,Microsoft,32.17582317,34.8897711
Milano,"Viale Pasubio, 21",,Italy,Microsoft,45.48200281,9.182773583
Kingston,Pan Caribbean Building Tenth Floor 60 Knutsford Boulevard ,,Jamaica,Microsoft,18.00699606,-76.78732121
Tokyo,"Shinagawa Grand Central Tower, 2-16-3 Konan Minato-ku",,Japan,Microsoft,35.62697878,139.7404054
Amman,"King Hussein Business Park, Building GH3, 2nd Floor",,Jordan,Microsoft,31.9719433,35.83394806
Almaty,Dostyk Ave 38,,Kazakhstan,Microsoft,43.25257656,76.95711993
Nur-Sultan,"Kabanbai batyra 15a, Business Center Q, block A, 5th floor",,Kazakhstan,Microsoft,51.13463095,71.4282118
Nairobi,"8th Floor, The Oval Building Ring Road, Westlands ",,Kenya,Microsoft,-1.258323315,36.80566185
R?ga,Za?? iela 1,,Latvia,Microsoft,56.95911918,24.11428253
Bayrut,"Berytus Park Building, 4th floor, Corner of Park Avenue &amp; Avenue Francaise, Minet El Hosn",,Lebanon,Microsoft,33.90088657,35.50220831
Tarabulus,Al -Shat Rd,,Libya,Microsoft,26.30395084,50.21053057
Vilnius,"A pastatas, Baltic Hearts, UkmergÄ—s g. 120",,Lithuania,Microsoft,54.70238786,25.26005243
Luxembourg,23 -29 Rives de Clausen,,Luxembourg,Microsoft,49.61228391,6.14185362
Kuala Lumpur,"Level 17 &amp; 18, Menara Shell No. 211, Jalan Tun Sambanthan ",,Malaysia,Microsoft,3.131062567,101.684571
Luqa,"SkyParks Business Centre, Level 5 Malta International Airport Luqa, ",,Malta,Microsoft,35.85137204,14.49431394
Port Louis,7th floor Dias Pier Building La Caudan Waterfront,,Mauritius,Microsoft,-20.16152342,57.49979738
Ciudad de México,"Vasco de Quiroga 3200-Piso 7, Santa Fe, Zedec Sta Fé",,Mexico,Microsoft,19.36659863,-99.26450784
Chi?in?u,"Vlaicu Pircalab St 63, Chi?in?u 2012, Moldova",,Moldova ,Microsoft,47.02376624,28.83591171
Podgorica,"27a Kralja Nikole, Podgorica, Montenegro",,Montenegro,Microsoft,42.43595888,19.26093307
Casablanca,"Boulevard Al Massira Al Khadra, Casablanca 20250, Morocco",,Morocco,Microsoft,33.5867027,-7.632296973
Rabat,"68, angle avenue Omar Ibn Khattab et rue Oukaimeden",,Morocco,Microsoft,33.99824671,-6.843398831
Schiphol,Evert van de Beekstraat 354 ,,Netherlands,Microsoft,52.30390505,4.750034727
Auckland,Level 5 22 Viaduct Harbour Ave,,New Zealand,Microsoft,-36.84520046,174.7568829
Wellington,Level 12 Vodafone on The Park 157 Lambton Quay,,New Zealand,Microsoft,-41.28223613,174.7773097
Abuja,"4th Street, Central Business District",,Nigeria,Microsoft,9.060055148,7.491260671
Lagos," 6th Floor, Civic Towers Ozumba Mbadiwe Road, beside Caverton Helicopters Victoria Island",,Nigeria,Microsoft,6.439945335,3.429425753
Skopje,"floor 1, Sv. Kiril i Metodij 7",,Macedonia (the former Yugoslav Republic of),Microsoft,41.99309953,21.42568236
Oslo,Dronning Eufemias gate 71,,Norway,Microsoft,59.90692659,10.7611034
Islamabad,"Ufone Tower, 11th Floor, Plot # 55-C, Main Jinnah Avenue, Blue Area",,Pakistan,Microsoft,33.71883165,73.07214246
Karachi,"5th Floor, Executive Tower, Dolmen City, Plot HC-3, Block 4, Clifton Scheme no. 5",,Pakistan,Microsoft,24.80283137,67.0294128
Lahore,"174 MB, Shabbir Sharif Rd, Sector J DHA Phase 6",,Pakistan,Microsoft,31.48377223,74.45629738
Panama,"34th & 35th Floors Financial Park Tower,  City, Panama",,Panama,Microsoft,9.010234905,-79.4766751
Asunción,Asunción Paraguay Av. Mcal. Lopez 3795 c/ Cruz del Chaco Edificio Citicenter – Piso 6,,Paraguay,Microsoft,-25.29475428,-57.57944229
Cercado de Lima,Via Principal 155,,Peru,Microsoft,-12.09726245,-77.0374503
Makati,"8th Floor, 6750 Ayala Office Tower 6750 Ayala Avenue ",,Philippines,Microsoft,14.55322198,121.0256348
Warszawa,al. Jerozolimskie 195A,,Poland,Microsoft,52.20043495,20.93609671
Lisboa,Rua do Fogo de Santelmo Lote 2.07.02,,Portugal,Microsoft,52.20036919,20.93602161
Guaynabo,City View Plaza I Suite 107 #48 State Road 165 Km 1.2 Guaynabo ,,Puerto Rico,Microsoft,18.4169194,-66.10825863
Bucure?ti ,"PiaÈ›a Presei Libere nr. 3-5 ClÄƒdirea City Gate, Turnul de Sud, Etaj 2 BucureÅŸti, Sector 1 ",,Romania,Microsoft,44.47762729,26.07138847
Moskva,"Krylatskaya Ulitsa, 17",,Russia,Microsoft,55.75063801,37.42736763
Moskva,"Lesnaya Ulitsa, 9",,Russia,Microsoft,55.77945302,37.58852083
Al Khobar,"Al-Rashed Towers, 12th Floor King Fahad Road, Bandaria",,Saudi Arabia,Microsoft,26.29099787,50.17752748
Jeddah,"Jameel Square, Prince Mohammed Bin Abdulaziz St, Al Andalus",,Saudi Arabia,Microsoft,21.54937136,39.1536736
Riyadh,"Al-Yamamah University, Ground Floor Qassim Road",,Saudi Arabia,Microsoft,24.86263055,46.59182273
Riyadh,"Building 7, Level 1, Zone A, The Business GateØŒ Airport Rd",,Saudi Arabia,Microsoft,24.73865225,46.67280563
Beograd,Å panskih boraca 3,,Serbia,Microsoft,44.81882322,20.42354224
Singapore,182 Cecil St,,Singapore,Microsoft,1.278834818,103.8473901
Singapore,1 Marina Boulevard #22-01 One Marina Boulevard,,Singapore,Microsoft,1.282590796,103.8525497
Bratislava,"Prievozská 4, 821 09 Bratislava, Slovakia",,Slovakia,Microsoft,48.14608039,17.1393613
Ljubljana,Ameriška ulica 8,,Slovenia,Microsoft,46.06700131,14.54131908
