Office,Address,State,Country,Company,Latitude,Longitude
Johannesburg,35 Ballyclare Drive Building E,,South Africa,Google,-26.0734457,28.032035
Seoul,"22nd Floor, Gangnam Finance Center
152 Teheran-ro, Gangnam-gu",,Korea (Republic of),Google,37.500295,127.036843
Madrid,"Plaza Pablo Ruiz Picasso, I",,Spain,Google,40.4505331,-3.6931161
Stockholm,Kungsbron 2,,Sweden,Google,59.333432,18.054619
 Zurich ,"Google Building 110, Brandschenkestrasse 110",,Switzerland,Google,47.365063,8.524425
Taipei,No. 7 XinYi Road Section 5,,"Taiwan, Province of China",Google,25.033447,121.564901
Bangkok,"57 Park Ventures Ecoplex
14th Floor, Wireless Road",,Thailand,Google,13.742866,100.547983
Istanbul,Eski Buyukdere Caddesi No: 209,,Turkey,Google,41.081697,29.00859
Dubai,"TECOM Zone, Dubai Internet City",,United Arab Emirates,Google,25.0929,55.1591
London,1-13 St Giles High St,,United Kingdom,Google,51.516027,-0.12755
London,6 Pancras Square,,United Kingdom,Google,51.533311,-0.126026
London,"Belgrave House
76 Buckingham Palace Road",,United Kingdom,Google,51.494961,-0.146652
